date,hour,equipment,process,electricity_kwh,fuel_type,fuel_quantity,production_volume,operating_hours
2026-08-01,12,Stenter Frame Oven,Thermal Processing,1.91,natural_gas,0.0,0.0,0.0
2026-08-01,12,Primary Chiller Unit,Cooling & HVAC,1.58,none,0.0,0.0,0.0
2026-08-01,13,Compressor 03 (Screw),Compressed Air,26.09,none,0.0,0.0,0.0
2026-08-01,13,Boiler 02 (Steam),Steam Generation,0.69,natural_gas,0.0,0.0,0.0
2026-08-01,13,Stenter Frame Oven,Thermal Processing,0.87,natural_gas,0.0,0.0,0.0
2026-08-01,13,Primary Chiller Unit,Cooling & HVAC,1.02,none,0.0,0.0,0.0
2026-08-01,14,Compressor 03 (Screw),Compressed Air,27.14,none,0.0,0.0,0.0
2026-08-01,14,Boiler 02 (Steam),Steam Generation,0.83,natural_gas,0.0,0.0,0.0
2026-08-01,14,Stenter Frame Oven,Thermal Processing,1.72,natural_gas,0.0,0.0,0.0
2026-08-01,14,Primary Chiller Unit,Cooling & HVAC,1.7,none,0.0,0.0,0.0
2026-08-01,15,Compressor 03 (Screw),Compressed Air,26.0,none,0.0,0.0,0.0
2026-08-01,15,Boiler 02 (Steam),Steam Generation,1.93,natural_gas,0.0,0.0,0.0
2026-08-01,15,Stenter Frame Oven,Thermal Processing,0.76,natural_gas,0.0,0.0,0.0
2026-08-01,15,Primary Chiller Unit,Cooling & HVAC,1.53,none,0.0,0.0,0.0
2026-08-01,16,Compressor 03 (Screw),Compressed Air,24.3,none,0.0,0.0,0.0
2026-08-01,16,Boiler 02 (Steam),Steam Generation,0.52,natural_gas,0.0,0.0,0.0
2026-08-01,16,Stenter Frame Oven,Thermal Processing,0.95,natural_gas,0.0,0.0,0.0
2026-08-01,16,Primary Chiller Unit,Cooling & HVAC,0.55,none,0.0,0.0,0.0
2026-08-01,17,Compressor 03 (Screw),Compressed Air,23.59,none,0.0,0.0,0.0
2026-08-01,17,Boiler 02 (Steam),Steam Generation,1.69,natural_gas,0.0,0.0,0.0
2026-08-01,17,Stenter Frame Oven,Thermal Processing,1.69,natural_gas,0.0,0.0,0.0
2026-08-01,17,Primary Chiller Unit,Cooling & HVAC,0.8,none,0.0,0.0,0.0
2026-08-01,18,Compressor 03 (Screw),Compressed Air,26.63,none,0.0,0.0,0.0
2026-08-01,18,Boiler 02 (Steam),Steam Generation,0.98,natural_gas,0.0,0.0,0.0
2026-08-01,18,Stenter Frame Oven,Thermal Processing,0.92,natural_gas,0.0,0.0,0.0
2026-08-01,18,Primary Chiller Unit,Cooling & HVAC,1.5,none,0.0,0.0,0.0
2026-08-01,19,Compressor 03 (Screw),Compressed Air,25.29,none,0.0,0.0,0.0
2026-08-01,19,Boiler 02 (Steam),Steam Generation,1.39,natural_gas,0.0,0.0,0.0
2026-08-01,19,Stenter Frame Oven,Thermal Processing,0.77,natural_gas,0.0,0.0,0.0
2026-08-01,19,Primary Chiller Unit,Cooling & HVAC,1.12,none,0.0,0.0,0.0
2026-08-01,20,Compressor 03 (Screw),Compressed Air,25.28,none,0.0,0.0,0.0
2026-08-01,20,Boiler 02 (Steam),Steam Generation,1.55,natural_gas,0.0,0.0,0.0
2026-08-01,20,Stenter Frame Oven,Thermal Processing,1.4,natural_gas,0.0,0.0,0.0
2026-08-01,20,Primary Chiller Unit,Cooling & HVAC,0.88,none,0.0,0.0,0.0
2026-08-01,21,Compressor 03 (Screw),Compressed Air,26.86,none,0.0,0.0,0.0
2026-08-01,21,Boiler 02 (Steam),Steam Generation,1.83,natural_gas,0.0,0.0,0.0
2026-08-01,21,Stenter Frame Oven,Thermal Processing,0.8,natural_gas,0.0,0.0,0.0
2026-08-01,21,Primary Chiller Unit,Cooling & HVAC,1.36,none,0.0,0.0,0.0
2026-08-01,22,Compressor 03 (Screw),Compressed Air,26.44,none,0.0,0.0,0.0
2026-08-01,22,Boiler 02 (Steam),Steam Generation,1.68,natural_gas,0.0,0.0,0.0
2026-08-01,22,Stenter Frame Oven,Thermal Processing,0.91,natural_gas,0.0,0.0,0.0
2026-08-01,22,Primary Chiller Unit,Cooling & HVAC,0.75,none,0.0,0.0,0.0
2026-08-01,23,Compressor 03 (Screw),Compressed Air,26.58,none,0.0,0.0,0.0
2026-08-01,23,Boiler 02 (Steam),Steam Generation,0.92,natural_gas,0.0,0.0,0.0
2026-08-01,23,Stenter Frame Oven,Thermal Processing,1.98,natural_gas,0.0,0.0,0.0
2026-08-01,23,Primary Chiller Unit,Cooling & HVAC,0.84,none,0.0,0.0,0.0
2026-08-02,0,Compressor 03 (Screw),Compressed Air,26.36,none,0.0,0.0,0.0
2026-08-02,0,Boiler 02 (Steam),Steam Generation,0.75,natural_gas,0.0,0.0,0.0
2026-08-02,0,Stenter Frame Oven,Thermal Processing,1.1,natural_gas,0.0,0.0,0.0
2026-08-02,0,Primary Chiller Unit,Cooling & HVAC,1.02,none,0.0,0.0,0.0
2026-08-02,1,Compressor 03 (Screw),Compressed Air,24.15,none,0.0,0.0,0.0
2026-08-02,1,Boiler 02 (Steam),Steam Generation,0.88,natural_gas,0.0,0.0,0.0
2026-08-02,1,Stenter Frame Oven,Thermal Processing,1.13,natural_gas,0.0,0.0,0.0
2026-08-02,1,Primary Chiller Unit,Cooling & HVAC,1.46,none,0.0,0.0,0.0
2026-08-02,2,Compressor 03 (Screw),Compressed Air,26.68,none,0.0,0.0,0.0
2026-08-02,2,Boiler 02 (Steam),Steam Generation,1.24,natural_gas,0.0,0.0,0.0
2026-08-02,2,Stenter Frame Oven,Thermal Processing,0.86,natural_gas,0.0,0.0,0.0
2026-08-02,2,Primary Chiller Unit,Cooling & HVAC,1.17,none,0.0,0.0,0.0
2026-08-02,3,Compressor 03 (Screw),Compressed Air,26.12,none,0.0,0.0,0.0
2026-08-02,3,Boiler 02 (Steam),Steam Generation,1.26,natural_gas,0.0,0.0,0.0
2026-08-02,3,Stenter Frame Oven,Thermal Processing,0.76,natural_gas,0.0,0.0,0.0
2026-08-02,3,Primary Chiller Unit,Cooling & HVAC,0.66,none,0.0,0.0,0.0
2026-08-02,4,Compressor 03 (Screw),Compressed Air,25.86,none,0.0,0.0,0.0
2026-08-02,4,Boiler 02 (Steam),Steam Generation,1.02,natural_gas,0.0,0.0,0.0
2026-08-02,4,Stenter Frame Oven,Thermal Processing,1.59,natural_gas,0.0,0.0,0.0
2026-08-02,4,Primary Chiller Unit,Cooling & HVAC,1.59,none,0.0,0.0,0.0
2026-08-02,5,Compressor 03 (Screw),Compressed Air,26.82,none,0.0,0.0,0.0
2026-08-02,5,Boiler 02 (Steam),Steam Generation,0.78,natural_gas,0.0,0.0,0.0
2026-08-02,5,Stenter Frame Oven,Thermal Processing,1.03,natural_gas,0.0,0.0,0.0
2026-08-02,5,Primary Chiller Unit,Cooling & HVAC,0.56,none,0.0,0.0,0.0
2026-08-02,6,Compressor 03 (Screw),Compressed Air,26.41,none,0.0,0.0,0.0
2026-08-02,6,Boiler 02 (Steam),Steam Generation,1.24,natural_gas,0.0,0.0,0.0
2026-08-02,6,Stenter Frame Oven,Thermal Processing,0.53,natural_gas,0.0,0.0,0.0
2026-08-02,6,Primary Chiller Unit,Cooling & HVAC,1.49,none,0.0,0.0,0.0
2026-08-02,7,Compressor 03 (Screw),Compressed Air,23.34,none,0.0,0.0,0.0
2026-08-02,7,Boiler 02 (Steam),Steam Generation,1.11,natural_gas,0.0,0.0,0.0
2026-08-02,7,Stenter Frame Oven,Thermal Processing,1.72,natural_gas,0.0,0.0,0.0
2026-08-02,7,Primary Chiller Unit,Cooling & HVAC,1.83,none,0.0,0.0,0.0
2026-08-02,8,Compressor 03 (Screw),Compressed Air,25.25,none,0.0,0.0,0.0
2026-08-02,8,Boiler 02 (Steam),Steam Generation,1.62,natural_gas,0.0,0.0,0.0
2026-08-02,8,Stenter Frame Oven,Thermal Processing,1.92,natural_gas,0.0,0.0,0.0
2026-08-02,8,Primary Chiller Unit,Cooling & HVAC,0.86,none,0.0,0.0,0.0
2026-08-02,9,Compressor 03 (Screw),Compressed Air,25.17,none,0.0,0.0,0.0
2026-08-02,9,Boiler 02 (Steam),Steam Generation,0.94,natural_gas,0.0,0.0,0.0
2026-08-02,9,Stenter Frame Oven,Thermal Processing,1.34,natural_gas,0.0,0.0,0.0
2026-08-02,9,Primary Chiller Unit,Cooling & HVAC,1.42,none,0.0,0.0,0.0
2026-08-02,10,Compressor 03 (Screw),Compressed Air,23.6,none,0.0,0.0,0.0
2026-08-02,10,Boiler 02 (Steam),Steam Generation,1.72,natural_gas,0.0,0.0,0.0
2026-08-02,10,Stenter Frame Oven,Thermal Processing,1.64,natural_gas,0.0,0.0,0.0
2026-08-02,10,Primary Chiller Unit,Cooling & HVAC,1.26,none,0.0,0.0,0.0
2026-08-02,11,Compressor 03 (Screw),Compressed Air,24.98,none,0.0,0.0,0.0
2026-08-02,11,Boiler 02 (Steam),Steam Generation,0.99,natural_gas,0.0,0.0,0.0
2026-08-02,11,Stenter Frame Oven,Thermal Processing,1.53,natural_gas,0.0,0.0,0.0
2026-08-02,11,Primary Chiller Unit,Cooling & HVAC,1.63,none,0.0,0.0,0.0
2026-08-02,12,Compressor 03 (Screw),Compressed Air,27.35,none,0.0,0.0,0.0
2026-08-02,12,Boiler 02 (Steam),Steam Generation,1.59,natural_gas,0.0,0.0,0.0
2026-08-02,12,Stenter Frame Oven,Thermal Processing,1.82,natural_gas,0.0,0.0,0.0
2026-08-02,12,Primary Chiller Unit,Cooling & HVAC,0.81,none,0.0,0.0,0.0
2026-08-02,13,Compressor 03 (Screw),Compressed Air,23.24,none,0.0,0.0,0.0
2026-08-02,13,Boiler 02 (Steam),Steam Generation,1.07,natural_gas,0.0,0.0,0.0
2026-08-02,13,Stenter Frame Oven,Thermal Processing,1.8,natural_gas,0.0,0.0,0.0
2026-08-02,13,Primary Chiller Unit,Cooling & HVAC,1.29,none,0.0,0.0,0.0
2026-08-02,14,Compressor 03 (Screw),Compressed Air,25.69,none,0.0,0.0,0.0
2026-08-02,14,Boiler 02 (Steam),Steam Generation,1.91,natural_gas,0.0,0.0,0.0
2026-08-02,14,Stenter Frame Oven,Thermal Processing,0.62,natural_gas,0.0,0.0,0.0
2026-08-02,14,Primary Chiller Unit,Cooling & HVAC,1.14,none,0.0,0.0,0.0
2026-08-02,15,Compressor 03 (Screw),Compressed Air,26.45,none,0.0,0.0,0.0
2026-08-02,15,Boiler 02 (Steam),Steam Generation,1.11,natural_gas,0.0,0.0,0.0
2026-08-02,15,Stenter Frame Oven,Thermal Processing,1.27,natural_gas,0.0,0.0,0.0
2026-08-02,15,Primary Chiller Unit,Cooling & HVAC,1.04,none,0.0,0.0,0.0
2026-08-02,16,Compressor 03 (Screw),Compressed Air,26.01,none,0.0,0.0,0.0
2026-08-02,16,Boiler 02 (Steam),Steam Generation,1.93,natural_gas,0.0,0.0,0.0
2026-08-02,16,Stenter Frame Oven,Thermal Processing,1.58,natural_gas,0.0,0.0,0.0
2026-08-02,16,Primary Chiller Unit,Cooling & HVAC,1.91,none,0.0,0.0,0.0
2026-08-02,17,Compressor 03 (Screw),Compressed Air,25.53,none,0.0,0.0,0.0
2026-08-02,17,Boiler 02 (Steam),Steam Generation,1.0,natural_gas,0.0,0.0,0.0
2026-08-02,17,Stenter Frame Oven,Thermal Processing,0.58,natural_gas,0.0,0.0,0.0
2026-08-02,17,Primary Chiller Unit,Cooling & HVAC,1.91,none,0.0,0.0,0.0
2026-08-02,18,Compressor 03 (Screw),Compressed Air,23.24,none,0.0,0.0,0.0
2026-08-02,18,Boiler 02 (Steam),Steam Generation,1.87,natural_gas,0.0,0.0,0.0
2026-08-02,18,Stenter Frame Oven,Thermal Processing,1.98,natural_gas,0.0,0.0,0.0
2026-08-02,18,Primary Chiller Unit,Cooling & HVAC,0.7,none,0.0,0.0,0.0
2026-08-02,19,Compressor 03 (Screw),Compressed Air,23.91,none,0.0,0.0,0.0
2026-08-02,19,Boiler 02 (Steam),Steam Generation,1.26,natural_gas,0.0,0.0,0.0
2026-08-02,19,Stenter Frame Oven,Thermal Processing,1.22,natural_gas,0.0,0.0,0.0
2026-08-02,19,Primary Chiller Unit,Cooling & HVAC,0.79,none,0.0,0.0,0.0
2026-08-02,20,Compressor 03 (Screw),Compressed Air,23.75,none,0.0,0.0,0.0
2026-08-02,20,Boiler 02 (Steam),Steam Generation,1.07,natural_gas,0.0,0.0,0.0
2026-08-02,20,Stenter Frame Oven,Thermal Processing,0.9,natural_gas,0.0,0.0,0.0
2026-08-02,20,Primary Chiller Unit,Cooling & HVAC,1.47,none,0.0,0.0,0.0
2026-08-02,21,Compressor 03 (Screw),Compressed Air,25.51,none,0.0,0.0,0.0
2026-08-02,21,Boiler 02 (Steam),Steam Generation,0.63,natural_gas,0.0,0.0,0.0
2026-08-02,21,Stenter Frame Oven,Thermal Processing,1.98,natural_gas,0.0,0.0,0.0
2026-08-02,21,Primary Chiller Unit,Cooling & HVAC,0.58,none,0.0,0.0,0.0
2026-08-02,22,Compressor 03 (Screw),Compressed Air,27.4,none,0.0,0.0,0.0
2026-08-02,22,Boiler 02 (Steam),Steam Generation,0.69,natural_gas,0.0,0.0,0.0
2026-08-02,22,Stenter Frame Oven,Thermal Processing,1.12,natural_gas,0.0,0.0,0.0
2026-08-02,22,Primary Chiller Unit,Cooling & HVAC,0.88,none,0.0,0.0,0.0
2026-08-02,23,Compressor 03 (Screw),Compressed Air,23.2,none,0.0,0.0,0.0
2026-08-02,23,Boiler 02 (Steam),Steam Generation,1.74,natural_gas,0.0,0.0,0.0
2026-08-02,23,Stenter Frame Oven,Thermal Processing,1.62,natural_gas,0.0,0.0,0.0
2026-08-02,23,Primary Chiller Unit,Cooling & HVAC,0.67,none,0.0,0.0,0.0
2026-08-03,0,Compressor 03 (Screw),Compressed Air,26.3,none,0.0,0.0,0.0
2026-08-03,0,Boiler 02 (Steam),Steam Generation,1.1,natural_gas,0.0,0.0,0.0
2026-08-03,0,Stenter Frame Oven,Thermal Processing,1.7,natural_gas,0.0,0.0,0.0
2026-08-03,0,Primary Chiller Unit,Cooling & HVAC,0.51,none,0.0,0.0,0.0
2026-08-03,1,Compressor 03 (Screw),Compressed Air,24.57,none,0.0,0.0,0.0
2026-08-03,1,Boiler 02 (Steam),Steam Generation,1.19,natural_gas,0.0,0.0,0.0
2026-08-03,1,Stenter Frame Oven,Thermal Processing,0.73,natural_gas,0.0,0.0,0.0
2026-08-03,1,Primary Chiller Unit,Cooling & HVAC,1.54,none,0.0,0.0,0.0
2026-08-03,2,Compressor 03 (Screw),Compressed Air,26.93,none,0.0,0.0,0.0
2026-08-03,2,Boiler 02 (Steam),Steam Generation,1.22,natural_gas,0.0,0.0,0.0
2026-08-03,2,Stenter Frame Oven,Thermal Processing,0.65,natural_gas,0.0,0.0,0.0
2026-08-03,2,Primary Chiller Unit,Cooling & HVAC,1.48,none,0.0,0.0,0.0
2026-08-03,3,Compressor 03 (Screw),Compressed Air,26.94,none,0.0,0.0,0.0
2026-08-03,3,Boiler 02 (Steam),Steam Generation,1.12,natural_gas,0.0,0.0,0.0
2026-08-03,3,Stenter Frame Oven,Thermal Processing,1.5,natural_gas,0.0,0.0,0.0
2026-08-03,3,Primary Chiller Unit,Cooling & HVAC,1.57,none,0.0,0.0,0.0
2026-08-03,4,Compressor 03 (Screw),Compressed Air,26.9,none,0.0,0.0,0.0
2026-08-03,4,Boiler 02 (Steam),Steam Generation,0.69,natural_gas,0.0,0.0,0.0
2026-08-03,4,Stenter Frame Oven,Thermal Processing,1.51,natural_gas,0.0,0.0,0.0
2026-08-03,4,Primary Chiller Unit,Cooling & HVAC,1.44,none,0.0,0.0,0.0
2026-08-03,5,Compressor 03 (Screw),Compressed Air,27.17,none,0.0,0.0,0.0
2026-08-03,5,Boiler 02 (Steam),Steam Generation,1.95,natural_gas,0.0,0.0,0.0
2026-08-03,5,Stenter Frame Oven,Thermal Processing,0.68,natural_gas,0.0,0.0,0.0
2026-08-03,5,Primary Chiller Unit,Cooling & HVAC,1.06,none,0.0,0.0,0.0
2026-08-03,6,Compressor 03 (Screw),Compressed Air,32.41,none,0.0,101.1,1.0
2026-08-03,6,Boiler 02 (Steam),Steam Generation,12.84,natural_gas,48.89,79.7,1.0
2026-08-03,6,Stenter Frame Oven,Thermal Processing,1.94,natural_gas,0.0,0.0,0.0
2026-08-03,6,Primary Chiller Unit,Cooling & HVAC,31.21,none,0.0,109.6,1.0
2026-08-03,7,Compressor 03 (Screw),Compressed Air,30.54,none,0.0,87.3,1.0
2026-08-03,7,Boiler 02 (Steam),Steam Generation,11.27,natural_gas,51.5,103.4,1.0
2026-08-03,7,Stenter Frame Oven,Thermal Processing,46.7,natural_gas,30.61,98.1,1.0
2026-08-03,7,Primary Chiller Unit,Cooling & HVAC,28.34,none,0.0,101.3,1.0
2026-08-03,8,Compressor 03 (Screw),Compressed Air,32.77,none,0.0,105.4,1.0
2026-08-03,8,Boiler 02 (Steam),Steam Generation,13.03,natural_gas,45.62,95.9,1.0
2026-08-03,8,Stenter Frame Oven,Thermal Processing,48.11,natural_gas,34.41,76.9,1.0
2026-08-03,8,Primary Chiller Unit,Cooling & HVAC,28.98,none,0.0,81.8,1.0
2026-08-03,9,Compressor 03 (Screw),Compressed Air,33.18,none,0.0,81.0,1.0
2026-08-03,9,Boiler 02 (Steam),Steam Generation,11.45,natural_gas,50.36,75.7,1.0
2026-08-03,9,Stenter Frame Oven,Thermal Processing,47.17,natural_gas,28.05,77.2,1.0
2026-08-03,9,Primary Chiller Unit,Cooling & HVAC,27.51,none,0.0,108.1,1.0
2026-08-03,10,Compressor 03 (Screw),Compressed Air,33.87,none,0.0,76.1,1.0
2026-08-03,10,Boiler 02 (Steam),Steam Generation,13.33,natural_gas,43.72,85.9,1.0
2026-08-03,10,Stenter Frame Oven,Thermal Processing,43.18,natural_gas,28.14,109.5,1.0
2026-08-03,10,Primary Chiller Unit,Cooling & HVAC,29.78,none,0.0,78.5,1.0
2026-08-03,11,Compressor 03 (Screw),Compressed Air,31.55,none,0.0,87.9,1.0
2026-08-03,11,Boiler 02 (Steam),Steam Generation,13.42,natural_gas,51.05,79.7,1.0
2026-08-03,11,Stenter Frame Oven,Thermal Processing,46.16,natural_gas,31.53,88.6,1.0
2026-08-03,11,Primary Chiller Unit,Cooling & HVAC,28.21,none,0.0,101.0,1.0
2026-08-03,12,Compressor 03 (Screw),Compressed Air,31.77,none,0.0,80.8,1.0
2026-08-03,12,Boiler 02 (Steam),Steam Generation,11.97,natural_gas,46.88,87.9,1.0
2026-08-03,12,Stenter Frame Oven,Thermal Processing,42.63,natural_gas,28.26,95.0,1.0
2026-08-03,12,Primary Chiller Unit,Cooling & HVAC,26.93,none,0.0,76.6,1.0
2026-08-03,13,Compressor 03 (Screw),Compressed Air,30.78,none,0.0,88.6,1.0
2026-08-03,13,Boiler 02 (Steam),Steam Generation,11.46,natural_gas,47.18,90.9,1.0
2026-08-03,13,Stenter Frame Oven,Thermal Processing,44.1,natural_gas,29.49,97.9,1.0
2026-08-03,13,Primary Chiller Unit,Cooling & HVAC,26.81,none,0.0,83.5,1.0
2026-08-03,14,Compressor 03 (Screw),Compressed Air,31.16,none,0.0,79.9,1.0
2026-08-03,14,Boiler 02 (Steam),Steam Generation,12.71,natural_gas,43.82,94.3,1.0
2026-08-03,14,Stenter Frame Oven,Thermal Processing,44.32,natural_gas,29.77,82.4,1.0
2026-08-03,14,Primary Chiller Unit,Cooling & HVAC,29.3,none,0.0,91.5,1.0
2026-08-03,15,Compressor 03 (Screw),Compressed Air,30.54,none,0.0,105.4,1.0
2026-08-03,15,Boiler 02 (Steam),Steam Generation,11.9,natural_gas,47.03,83.6,1.0
2026-08-03,15,Stenter Frame Oven,Thermal Processing,46.92,natural_gas,31.92,107.7,1.0
2026-08-03,15,Primary Chiller Unit,Cooling & HVAC,26.97,none,0.0,94.2,1.0
2026-08-03,16,Compressor 03 (Screw),Compressed Air,33.4,none,0.0,83.5,1.0
2026-08-03,16,Boiler 02 (Steam),Steam Generation,12.58,natural_gas,41.6,105.4,1.0
2026-08-03,16,Stenter Frame Oven,Thermal Processing,42.09,natural_gas,27.67,79.4,1.0
2026-08-03,16,Primary Chiller Unit,Cooling & HVAC,29.07,none,0.0,79.1,1.0
2026-08-03,17,Compressor 03 (Screw),Compressed Air,33.8,none,0.0,81.7,1.0
2026-08-03,17,Boiler 02 (Steam),Steam Generation,11.85,natural_gas,47.67,83.5,1.0
2026-08-03,17,Stenter Frame Oven,Thermal Processing,49.94,natural_gas,28.7,77.0,1.0
2026-08-03,17,Primary Chiller Unit,Cooling & HVAC,26.18,none,0.0,98.5,1.0
2026-08-03,18,Compressor 03 (Screw),Compressed Air,35.04,none,0.0,101.6,1.0
2026-08-03,18,Boiler 02 (Steam),Steam Generation,13.12,natural_gas,40.99,94.1,1.0
2026-08-03,18,Stenter Frame Oven,Thermal Processing,45.59,natural_gas,27.25,94.4,1.0
2026-08-03,18,Primary Chiller Unit,Cooling & HVAC,27.17,none,0.0,99.7,1.0
2026-08-03,19,Compressor 03 (Screw),Compressed Air,33.47,none,0.0,104.0,1.0
2026-08-03,19,Boiler 02 (Steam),Steam Generation,13.22,natural_gas,51.59,85.7,1.0
2026-08-03,19,Stenter Frame Oven,Thermal Processing,48.52,natural_gas,29.79,78.1,1.0
2026-08-03,19,Primary Chiller Unit,Cooling & HVAC,31.02,none,0.0,75.1,1.0
2026-08-03,20,Compressor 03 (Screw),Compressed Air,35.64,none,0.0,95.0,1.0
2026-08-03,20,Boiler 02 (Steam),Steam Generation,12.59,natural_gas,41.0,101.8,1.0
2026-08-03,20,Stenter Frame Oven,Thermal Processing,46.51,natural_gas,34.05,105.4,1.0
2026-08-03,20,Primary Chiller Unit,Cooling & HVAC,28.19,none,0.0,91.1,1.0
2026-08-03,21,Compressor 03 (Screw),Compressed Air,29.92,none,0.0,84.1,1.0
2026-08-03,21,Boiler 02 (Steam),Steam Generation,12.42,natural_gas,48.85,95.9,1.0
2026-08-03,21,Stenter Frame Oven,Thermal Processing,0.7,natural_gas,0.0,0.0,0.0
2026-08-03,21,Primary Chiller Unit,Cooling & HVAC,30.49,none,0.0,104.8,1.0
2026-08-03,22,Compressor 03 (Screw),Compressed Air,23.5,none,0.0,0.0,0.0
2026-08-03,22,Boiler 02 (Steam),Steam Generation,0.86,natural_gas,0.0,0.0,0.0
2026-08-03,22,Stenter Frame Oven,Thermal Processing,1.76,natural_gas,0.0,0.0,0.0
2026-08-03,22,Primary Chiller Unit,Cooling & HVAC,27.86,none,0.0,88.1,1.0
2026-08-03,23,Compressor 03 (Screw),Compressed Air,24.22,none,0.0,0.0,0.0
2026-08-03,23,Boiler 02 (Steam),Steam Generation,1.94,natural_gas,0.0,0.0,0.0
